GuardiumVersion,OSName,OSVersion,DatabaseName,DatabaseVersion,Network traffic,Local traffic,Encrypted traffic,Shared Memory,Kerberos,Blocking,Redaction,UID Chain,Compression,Query Rewrite,Instance Discovery,Protocol,Notes
('11.4'),('Suse'),"('Suse 11 (32 bit & 64 bit)')",('Vertica'),('Vertica 10'),K-TAP,K-TAP,A-TAP,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,SLES 11 PPC64 (Big Endian system only)
"('11', '11.1', '11.2', '11.3', '11.4')",('Suse'),"('Suse 11 (32 bit & 64 bit)')",('Vertica'),('Vertica 7.2'),K-TAP,K-TAP,null,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,SLES 11 PPC64 (Big Endian system only)
"('11.2', '11.3', '11.4')",('Suse'),"('Suse 12 (64 bit)', 'Suse 15 (64 bit)')",('Vertica'),"('Vertica 8', 'Vertica 9', 'Vertica 9.2', 'Vertica 9.3')",K-TAP,K-TAP,A-TAP,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,SLES 12 PPC64LE (Little Endian system only)
"('11', '11.1')",('Suse'),"('Suse 12 (64 bit)', 'Suse 15 (64 bit)')",('Vertica'),"('Vertica 8', 'Vertica 9')",K-TAP,K-TAP,A-TAP,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,SLES 12 PPC64LE (Little Endian system only)
('11.4'),('Suse'),"('Suse 12 (64 bit)', 'Suse 15 (64 bit)')",('Vertica'),('Vertica 10'),K-TAP,K-TAP,A-TAP,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,SLES 12 PPC64LE (Little Endian system only)
"('11', '11.1', '11.2', '11.3', '11.4')",('Suse'),"('Suse 12 (64 bit)', 'Suse 15 (64 bit)')",('Vertica'),('Vertica 7.2'),K-TAP,K-TAP,null,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,SLES 12 PPC64LE (Little Endian system only)
"('11.2', '11.3', '11.4')",('CentOS'),"('CentOS 6x', 'CentOS 7x')",('Vertica'),"('Vertica 8', 'Vertica 9', 'Vertica 9.2', 'Vertica 9.3')",K-TAP,K-TAP,A-TAP,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,null
"('11', '11.1')",('CentOS'),"('CentOS 6x', 'CentOS 7x')",('Vertica'),"('Vertica 8', 'Vertica 9')",K-TAP,K-TAP,A-TAP,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,null
('11.4'),('CentOS'),"('CentOS 6x', 'CentOS 7x')",('Vertica'),('Vertica 10'),K-TAP,K-TAP,A-TAP,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,null
"('11', '11.1', '11.2', '11.3', '11.4')",('CentOS'),"('CentOS 6x', 'CentOS 7x')",('Vertica'),('Vertica 7.2'),K-TAP,K-TAP,null,null,null,K-TAP,K-TAP,K-TAP,null,null,null,N/A,null
"('11', '11.1', '11.2', '11.3', '11.4')",('Suse'),"('Suse 11 (32 bit & 64 bit)')",('Sybase IQ'),('Sybase IQ 16'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,SLES 11 PPC64 (Big Endian system only)
"('11', '11.1', '11.2', '11.3', '11.4')",('AIX'),"('AIX 7.1', 'AIX 7.2')",('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A, Sybase IQ does not support SSL
"('11', '11.1', '11.2', '11.3')",('AIX'),('AIX 6.1'),('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Sybase IQ does not support SSL; Sybase IQ 16.1 SSL connections do not capture DB User.
"('11', '11.1', '11.2', '11.3', '11.4')",('Red Hat'),('Red Hat 6'),('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE);  Sybase IQ does not support SSL; Sybase IQ 16.1 SSL connections do not capture DB User
"('11', '11.1', '11.2', '11.3', '11.4')",('Red Hat'),"('Red Hat 6', 'Red Hat 7', 'Red Hat 7.1', 'Red Hat 7.2', 'Red Hat 7.3', 'Red Hat 7.4', 'Red Hat 7.5', 'Red Hat 7.6', 'Red Hat 7.7', 'Red Hat 7.8', 'Red Hat 7.9')",('Sybase IQ'),('Sybase IQ 16'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE); Sybase IQ does not support SSL
"('11', '11.1')",('Red Hat'),"('Red Hat 4', 'Red Hat 5')",('Sybase IQ'),('Sybase IQ 16'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE); Sybase IQ does not support SSL
"('11.2', '11.3', '11.4')",('Red Hat'),('Red Hat 8'),('Sybase IQ'),('Sybase IQ 16'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE); Sybase IQ does not support SSL
"('11.2', '11.3')",('Red Hat'),('Red Hat 5'),('Sybase IQ'),('Sybase IQ 16'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE); Sybase IQ does not support SSL
"('11', '11.1', '11.2', '11.3', '11.4')",('Red Hat'),"('Red Hat 7', 'Red Hat 7.1', 'Red Hat 7.2', 'Red Hat 7.3', 'Red Hat 7.4', 'Red Hat 7.5', 'Red Hat 7.6', 'Red Hat 7.7', 'Red Hat 7.8', 'Red Hat 7.9')",('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE); Sybase IQ does not support SSL; Sybase IQ 16.1 SSL connections do not capture DB User
"('11', '11.1')",('Red Hat'),"('Red Hat 4', 'Red Hat 5')",('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE); Sybase IQ does not support SSL; Sybase IQ 16.1 SSL connections do not capture DB User
"('11.2', '11.3', '11.4')",('Red Hat'),('Red Hat 8'),('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE); Sybase IQ does not support SSL; Sybase IQ 16.1 SSL connections do not capture DB User
"('11.2', '11.3')",('Red Hat'),('Red Hat 5'),('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Little endian and Big endian supported on Power 8 (RHEL 7.x-7.6 PPC64LE); Sybase IQ does not support SSL; Sybase IQ 16.1 SSL connections do not capture DB User
"('11', '11.1', '11.2', '11.3', '11.4')",('Suse'),"('Suse 12 (64 bit)', 'Suse 15 (64 bit)')",('Sybase IQ'),('Sybase IQ 16'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,SLES 12 PPC64LE (Little Endian system only)
"('11', '11.1', '11.2', '11.3', '11.4')",('Suse'),"('Suse 11 (32 bit & 64 bit)')",('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Syb Sybase IQ 16.1 SSL connections do not capture DB User; SLES 11 PPC64 (Big Endian system only)
"('11', '11.1', '11.2', '11.3', '11.4')",('Suse'),"('Suse 12 (64 bit)', 'Suse 15 (64 bit)')",('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Sybase IQ 16.1 SSL connections do not capture DB User; SLES 12 PPC64LE (Little Endian system only)
"('11', '11.1', '11.2', '11.3')",('AIX'),"('AIX 6.1', 'AIX 7.1', 'AIX 7.2')",('Sybase IQ'),('Sybase IQ 16'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Sybase IQ does not support SSL
('11.4'),('AIX'),"('AIX 7.1', 'AIX 7.2')",('Sybase IQ'),('Sybase IQ 16'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,Sybase IQ does not support SSL
"('11', '11.1', '11.2', '11.3', '11.4')",('CentOS'),"('CentOS 6x', 'CentOS 7x')",('Sybase IQ'),('Sybase IQ 16.1'),K-TAP,null,A-TAP (x86_64 only),A-TAP (Sybase 16.1 does not support DB username),null,"K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"K-TAP, A-TAP (A-TAP only when configured for real IPs)",null,null,Yes,N/A,null
"('11', '11.1', '11.2', '11.3', '11.4')",('Suse'),"('Suse 11 (32 bit & 64 bit)')",('DB2 Purescale'),('DB2 Purescale 11'),"DB2 Exit, K-TAP",null,DB2 Exit,"DB2 Exit, A-TAP",null,"DB2 Exit, K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"DB2 Exit, K-TAP",K-TAP,null,Yes,N/A,Informix Exit supported with 12.10. SLES 11 PPC64 (Big Endian system only)
"('11', '11.1')",('Suse'),"('Suse 11 (32 bit & 64 bit)')",('DB2 Purescale'),"('DB2 Purescale 10.1', 'DB2 Purescale 10.5', 'DB2 Purescale 9.8')","DB2 Exit, K-TAP",null,DB2 Exit,"DB2 Exit, A-TAP",null,"DB2 Exit, K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"DB2 Exit, K-TAP",K-TAP,null,Yes,N/A,SLES 11 PPC64 (Big Endian system only)
"('11.2', '11.3', '11.4')",('Suse'),"('Suse 11 (32 bit & 64 bit)')",('DB2 Purescale'),('DB2 Purescale 9.8'),"DB2 Exit, K-TAP",null,DB2 Exit,"DB2 Exit, A-TAP",null,"DB2 Exit, K-TAP, A-TAP (A-TAP with Linux 2.6.36 and higher only)",K-TAP,"DB2 Exit, K-TAP",K-TAP,null,Yes,N/A,SLES 11 PPC64 (Big Endian system only)
