GDP_Type,Guardium_Version,DataSource,DataSource_Version,VA_supported,Classification_supported,Notes,Download_URL,Readme_URL
GI,GI 3.3.0,Amazon RDS for PostgreSQL,10.0+,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/PostgresOverCloudWatchPackage.zip,
GI,GI 3.3.0,Amazon S3,latest,,yes,Classification via ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/S3OverCloudwatchLogsPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mysql-aws-guardium/README.md
GI,GI 3.3.0,DocumentDB,4.0+,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/DocumentDBOverCloudwatchPackage.zip,
GI,GI 3.3.0,MongoDB Atlas,4.2,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MongodbOverFilebeatPackage.zip,
GI,GI 3.3.0,MongoDB Atlas,4.4,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MongodbOverFilebeatPackage.zip,
GI,GI 3.3.0,Neptune,1.1+,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/NeptuneOverCloudWatchPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GI,GI 3.3.0,Snowflake,1.0+,yes,,,https://github.com/IBM/universal-connectors/releases/download/v1.4.1/SnowflakeOverJbdcPackage.zip,
,3.3.0 (planned),Amazon RDS for Microsoft SQL Server,14.0.x,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/mssql-offline-plugins-7.5.2.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-oua-guardium/README.md
GI GI SaaS,GI SaaS,Amazon Aurora MySQL,2.0+,,yes,Classification via ISDC,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-aurora-mysql-guardium/AuroraMysqlOverCloudwatchPackage/AuroraMysql/Aurora-Mysql-offlinePlugin.zip,
GI GI SaaS,GI SaaS,Amazon Aurora PostgreSQL,2.0+,,yes,Classification via ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/PostgresOverCloudWatchPackage.zip,
GI GI SaaS,GI SaaS,Amazon DynamoDB,2019.11.21,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/DynamodbOverCloudwatchPackage.zip,
GI GI SaaS,GI SaaS,Amazon RDS for MariaDB,10.4,,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-mariadb-aws-guardium/MariaDBOverCloudWatchPackage/MariaDB/logstash-filter-awsmariadb_guardium_filter.zip,
GI GI SaaS,GI SaaS,Amazon RDS for MariaDB,10.5,,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-mariadb-aws-guardium/MariaDBOverCloudWatchPackage/MariaDB/logstash-filter-awsmariadb_guardium_filter.zip,
GI GI SaaS,GI SaaS,Amazon RDS for MariaDB,10.6,,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-mariadb-aws-guardium/MariaDBOverCloudWatchPackage/MariaDB/logstash-filter-awsmariadb_guardium_filter.zip,
GI GI SaaS,GI SaaS,Amazon RDS for MariaDB,10.7,,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-mariadb-aws-guardium/MariaDBOverCloudWatchPackage/MariaDB/logstash-filter-awsmariadb_guardium_filter.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-postgres-guardium/README.md
GI GI SaaS,GI SaaS,Amazon RDS for MariaDB,10.8,,,,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-mariadb-aws-guardium/MariaDBOverCloudWatchPackage/MariaDB/logstash-filter-awsmariadb_guardium_filter.zip,
GI GI SaaS,GI SaaS,Amazon RDS for Microsoft SQL Server,14.0.x,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-mssql-guardium/MssqlOverJdbcPackage/mssql-offline-plugins-7.5.2.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-s3-guardium/README.md
GI GI SaaS,GI SaaS,Amazon RDS for MySQL,5.7+,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MysqlOverCloudwatchLogsPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-documentdb-aws-guardium/README.md
GI GI SaaS,GI SaaS,Amazon RDS for Oracle,18,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-oua-guardium/OracleUnifiedAuditPackage/OracleUnifiedAudit/guardium-oua-uc.zip,
GI GI SaaS,GI SaaS,Amazon RDS for Oracle,19,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/raw/main/filter-plugin/logstash-filter-oua-guardium/OracleUnifiedAuditPackage/OracleUnifiedAudit/guardium-oua-uc.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/README.md
GI GI SaaS,GI SaaS,Amazon RDS for PostgreSQL,10.0+,yes,yes,Classification via GDP,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/PostgresOverCloudWatchPackage.zip,
GI GI SaaS,GI SaaS,Amazon S3,latest,,yes,Classification via ISDC,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/S3OverCloudwatchLogsPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-mongodb-guardium/README.md
GI GI SaaS,GI SaaS,DocumentDB,4.0+,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/DocumentDBOverCloudwatchPackage.zip,
GI GI SaaS,GI SaaS,MongoDB Atlas,4.2,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MongodbOverFilebeatPackage.zip,
GI GI SaaS,GI SaaS,MongoDB Atlas,4.4,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/MongodbOverFilebeatPackage.zip,https://github.com/IBM/universal-connectors/blob/main/filter-plugin/logstash-filter-neptune-aws-guardium/README.md
GI GI SaaS,GI SaaS,Neptune,1.1+,,,,https://github.com/IBM/universal-connectors/releases/download/v1.2.0/NeptuneOverCloudWatchPackage.zip,https://github.com/infoinsights/guardium-snowflake-uc-filter
GI GI SaaS,GI SaaS,Snowflake,1.0+,yes,,,https://github.com/IBM/universal-connectors/releases/download/v1.4.1/SnowflakeOverJbdcPackage.zip,
